Konsekwencje;Liczebnosc;Kraj;Oznaczenie
1;75;Austria;AT
2;311;Austria;AT
3;443;Austria;AT
4;105;Austria;AT
5;66;Austria;AT
1;176;Belgia;BE
2;411;Belgia;BE
3;378;Belgia;BE
4;43;Belgia;BE
5;10;Belgia;BE
1;224;Bułgaria;BG
2;420;Bułgaria;BG
3;213;Bułgaria;BG
4;48;Bułgaria;BG
5;95;Bułgaria;BG
1;157;Cypr;CY
2;219;Cypr;CY
3;101;Cypr;CY
4;22;Cypr;CY
5;5;Cypr;CY
1;135;Czechy;CZ
2;428;Czechy;CZ
3;393;Czechy;CZ
4;51;Czechy;CZ
5;42;Czechy;CZ
1;144;Niemcy;DE
2;409;Niemcy;DE
3;731;Niemcy;DE
4;218;Niemcy;DE
5;21;Niemcy;DE
1;39;Dania;DK
2;185;Dania;DK
3;550;Dania;DK
4;212;Dania;DK
5;30;Dania;DK
1;310;Grecja;EE
2;512;Grecja;EE
3;142;Grecja;EE
4;29;Grecja;EE
5;10;Grecja;EE
1;246;Hiszpania;ES
2;384;Hiszpania;ES
3;265;Hiszpania;ES
4;70;Hiszpania;ES
5;38;Hiszpania;ES
1;31;Finlandia;FI
2;245;Finlandia;FI
3;578;Finlandia;FI
4;132;Finlandia;FI
5;31;Finlandia;FI
1;240;Francja;FR
2;403;Francja;FR
3;303;Francja;FR
4;59;Francja;FR
5;30;Francja;FR
1;512;Węgry;HU
2;391;Węgry;HU
3;88;Węgry;HU
4;18;Węgry;HU
5;14;Węgry;HU
1;411;Irlandia;IE
2;326;Irlandia;IE
3;136;Irlandia;IE
4;27;Irlandia;IE
5;100;Irlandia;IE
1;286;Włochy;IT
2;485;Włochy;IT
3;182;Włochy;IT
4;43;Włochy;IT
5;65;Włochy;IT
1;337;Litwa;LT
2;479;Litwa;LT
3;149;Litwa;LT
4;24;Litwa;LT
5;20;Litwa;LT
1;121;Luksemburg;LU
2;154;Luksemburg;LU
3;171;Luksemburg;LU
4;44;Luksemburg;LU
5;14;Luksemburg;LU
1;337;Łotwa;LV
2;456;Łotwa;LV
3;178;Łotwa;LV
4;12;Łotwa;LV
5;18;Łotwa;LV
1;166;Malta;MT
2;198;Malta;MT
3;55;Malta;MT
4;30;Malta;MT
5;51;Malta;MT
1;43;Holandia;NL
2;255;Holandia;NL
3;634;Holandia;NL
4;92;Holandia;NL
5;20;Holandia;NL
1;117;Polska;PL
2;416;Polska;PL
3;320;Polska;PL
4;80;Polska;PL
5;67;Polska;PL
1;285;Portugalia;PT
2;388;Portugalia;PT
3;155;Portugalia;PT
4;43;Portugalia;PT
5;128;Portugalia;PT
1;348;Rumunia;RO
2;482;Rumunia;RO
3;89;Rumunia;RO
4;14;Rumunia;RO
5;111;Rumunia;RO
1;46;Szwecja;SE
2;207;Szwecja;SE
3;539;Szwecja;SE
4;210;Szwecja;SE
5;16;Szwecja;SE
1;274;Słowenia;SI
2;418;Słowenia;SI
3;253;Słowenia;SI
4;53;Słowenia;SI
5;10;Słowenia;SI
1;211;Słowacja;SK
2;516;Słowacja;SK
3;230;Słowacja;SK
4;37;Słowacja;SK
5;32;Słowacja;SK
1;227;Wielka Brytania;UK
2;571;Wielka Brytania;UK
3;404;Wielka Brytania;UK
4;72;Wielka Brytania;UK
5;40;Wielka Brytania;UK